,inicio,varinicio,varfim,;,int,real,lit,leia,escreva,literal,num,rcb,opm,(,),entao,opr,fimse,id,se,fim,$,P,V,A,LV,D,TIPO,ES,ARG,CMD,LD,OPRD,COND,CABEÇALHO,CORPO,EXP_R
45,E45,E45,E45,E45,E45,E45,E45,E45,E45,E45,E45,E45,E45,E45,S46,E45,E45,E45,E45,E45,E45,E45,,,,,,,,,,,,,,,
46,E46,E46,E46,E46,E46,E46,E46,E46,E46,E46,E46,E46,E46,E46,E46,S47,E46,E46,E46,E46,E46,E46,,,,,,,,,,,,,,,
47,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,,,,,,,,,,,,,,,
48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,S49,E48,E48,E48,E48,E48,,,,,,,,,,,,,,,
49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,S33,E49,E49,E49,E49,E49,E49,E49,S32,E49,E49,E49,,,,,,,,,,,50,,,,
50,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,,,,,,,,,,,,,,,
51,E51,E51,E51,S52,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,,,,,,,,,,,,,,,
52,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,,,,,,,,,,,,,,,
53,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,,,,,,,,,,,,,,,
54,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,,,,,,,,,,,,,,,
55,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,,,,,,,,,,,,,,,
56,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,,,,,,,,,,,,,,,
57,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,,,,,,,,,,,,,,,
58,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,,,,,,,,,,,,,,,
